step,agent_id,type,wealth,moral_level,wage,employed,reservation_wage,protesting,last_action,neighbors
1,Poor_1,PoorAgent,112.38999999999999,1,2.85,True,,False,work,[]
1,Poor_2,PoorAgent,109.43999999999998,1,3.35,True,,False,work,['Poor_23']
1,Poor_3,PoorAgent,107.19,1,3.25,True,,False,work,"['Poor_28', 'Poor_19', 'Poor_4']"
1,Poor_4,PoorAgent,96.84,1,3.11,True,,False,work,"['Poor_19', 'Poor_3']"
1,Poor_5,PoorAgent,109.34000000000002,1,2.65,True,,False,work,['Rich_50']
1,Poor_6,PoorAgent,116.55,1,3.86,True,,False,work,['Poor_26']
1,Poor_7,PoorAgent,110.18,1,2.73,True,,False,work,[]
1,Poor_8,PoorAgent,98.65,1,2.54,True,,False,work,"['Poor_43', 'Poor_22']"
1,Poor_9,PoorAgent,98.26,1,3.06,True,,False,work,['Poor_11']
1,Poor_10,PoorAgent,95.02,1,2.11,True,,False,work,"['Poor_15', 'Poor_23']"
1,Poor_11,PoorAgent,116.13,1,3.74,True,,False,work,['Poor_9']
1,Poor_12,PoorAgent,112.82000000000001,1,2.84,True,,False,work,[]
1,Poor_13,PoorAgent,107.25999999999999,1,3.6,True,,False,work,"['Rich_46', 'Poor_29']"
1,Poor_14,PoorAgent,103.14999999999999,1,2.16,True,,False,work,['Poor_22']
1,Poor_15,PoorAgent,106.33,1,3.56,True,,False,work,['Poor_10']
1,Poor_16,PoorAgent,109.11999999999999,1,3.24,True,,False,work,[]
1,Poor_17,PoorAgent,111.91,1,3.8,True,,False,work,[]
1,Poor_18,PoorAgent,106.93,1,3.64,True,,False,work,[]
1,Poor_19,PoorAgent,113.66000000000001,1,2.2,True,,False,work,"['Poor_3', 'Poor_4']"
1,Poor_20,PoorAgent,104.24,1,2.99,True,,False,work,['Rich_50']
1,Poor_21,PoorAgent,95.69,1,2.36,True,,False,work,[]
1,Poor_22,PoorAgent,112.79,1,3.0,True,,False,work,"['Poor_43', 'Poor_8', 'Poor_14']"
1,Poor_23,PoorAgent,101.86,1,2.14,True,,False,work,"['Poor_10', 'Poor_2']"
1,Poor_24,PoorAgent,101.16,1,2.08,True,,False,work,[]
1,Poor_25,PoorAgent,102.01,1,2.11,True,,False,work,[]
1,Poor_26,PoorAgent,114.66000000000001,1,3.2,True,,False,work,"['Poor_6', 'Poor_42']"
1,Poor_27,PoorAgent,96.89999999999999,1,3.44,True,,False,work,[]
1,Poor_28,PoorAgent,113.25,1,2.69,True,,False,work,"['Poor_41', 'Poor_3']"
1,Poor_29,PoorAgent,103.86000000000001,1,2.26,True,,False,work,"['Rich_46', 'Poor_13']"
1,Poor_30,PoorAgent,101.52999999999999,1,3.77,True,,False,work,[]
1,Poor_31,PoorAgent,114.69,1,3.92,True,,False,work,[]
