step,type,description,agent_id,agent_type,timestamp,wage,old_moral,new_moral
0,initial_hire,Poor_1 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,2.85,,
0,initial_hire,Poor_2 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,3.35,,
0,initial_hire,Poor_3 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,3.25,,
0,initial_hire,Poor_4 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,3.11,,
0,initial_hire,Poor_5 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,2.65,,
0,initial_hire,Poor_6 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,3.86,,
0,initial_hire,Poor_7 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,2.73,,
0,initial_hire,Poor_8 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,2.54,,
0,initial_hire,Poor_9 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,3.06,,
0,initial_hire,Poor_10 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,2.11,,
0,initial_hire,Poor_11 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,3.74,,
0,initial_hire,Poor_12 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,2.84,,
0,initial_hire,Poor_13 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,3.6,,
0,initial_hire,Poor_14 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,2.16,,
0,initial_hire,Poor_15 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,3.56,,
0,initial_hire,Poor_16 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,3.24,,
0,initial_hire,Poor_17 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,3.8,,
0,initial_hire,Poor_18 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,3.64,,
0,initial_hire,Poor_19 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,2.2,,
0,initial_hire,Poor_20 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,2.99,,
0,initial_hire,Poor_21 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,2.36,,
0,initial_hire,Poor_22 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,3.0,,
0,initial_hire,Poor_23 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,2.14,,
0,initial_hire,Poor_24 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,2.08,,
0,initial_hire,Poor_25 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,2.11,,
0,initial_hire,Poor_26 雇佣于 Rich_46,,Unknown,2025-08-10 16:49:44.837953,3.2,,
0,initial_hire,Poor_27 雇佣于 Rich_47,,Unknown,2025-08-10 16:49:44.837953,3.44,,
0,initial_hire,Poor_28 雇佣于 Rich_48,,Unknown,2025-08-10 16:49:44.837953,2.69,,
0,initial_hire,Poor_29 雇佣于 Rich_49,,Unknown,2025-08-10 16:49:44.837953,2.26,,
0,initial_hire,Poor_30 雇佣于 Rich_50,,Unknown,2025-08-10 16:49:44.837953,3.77,,
