step,Gini,Avg_Poor_Wealth,Avg_Rich_Wealth,Wealth_Ratio,Total_Wealth,Total_Rich_Production,Total_Poor_Earnings,transparent,experiment
1,0.09627463115802115,106.4448888888889,121.32000000000001,1.1397447192287298,5396.62,-135.03,135.03,False,F_0
2,0.3580737099840041,109.44555555555554,767.914,7.016401863940469,8764.619999999999,-135.03,135.03,False,F_0
3,0.49605833972732594,112.44622222222222,1401.708,12.465585524339538,12068.619999999999,-135.03,135.03,False,F_0
4,0.5755225715586298,115.44688888888886,2045.3020000000001,17.716389065871564,15421.619999999999,-135.03,135.03,False,F_0
5,0.6268435826609098,118.44755555555557,2683.096,22.652185496065766,18745.62,-135.03,135.03,False,F_0
6,0.6614918989794611,121.44822222222223,3312.09,27.271621925758943,22025.62,-135.03,135.03,False,F_0
7,0.6898361112829843,124.4488888888889,3987.0840000000003,32.03792364558409,25535.620000000003,-135.03,135.03,False,F_0
8,0.7100864769587467,127.44955555555552,4630.678,36.33341818898284,28888.620000000003,-135.03,135.03,False,F_0
9,0.7261996023975021,130.45022222222224,5286.6720000000005,40.52635488036305,32303.620000000003,-135.03,135.03,False,F_0
10,0.7386820605524558,133.4508888888889,5917.2660000000005,44.3404015459703,35591.62,-135.03,135.03,False,F_0
