step,agent_id,type,wealth,position,mood,employed,wage,reservation_wage,protesting,last_action,last_speech,employer_wealth,transparent
1,Poor_1,PoorAgent,9.54,"(17, 0)",0.5,True,2.08,,False,work,继续努力工作，维持收入和提高满意度,601.3299999999999,False
1,Poor_2,PoorAgent,4.36,"(11, 1)",0.5,True,2.37,,False,,,594.5400000000001,False
1,Poor_3,PoorAgent,4.62,"(2, 19)",0.5,True,2.89,,False,,,601.3299999999999,False
1,Poor_4,PoorAgent,12.72,"(17, 2)",0.5,True,3.33,,False,work,继续工作，维持收入和满意度,594.5400000000001,False
1,Poor_5,PoorAgent,10.98,"(18, 6)",0.5,True,2.75,,False,work,继续工作，保持收入稳定,601.3299999999999,False
1,Poor_6,PoorAgent,7.89,"(0, 2)",0.5,True,2.54,,False,work,继续工作，维持收入和雇主关系,594.5400000000001,False
1,Poor_7,PoorAgent,11.39,"(8, 13)",0.5,True,3.76,,False,work,继续工作，维持收入和满意度,601.3299999999999,False
1,Poor_8,PoorAgent,6.38,"(5, 2)",0.5,True,2.58,,False,work,继续保持现状，维持收入和满意度,594.5400000000001,False
1,Poor_9,PoorAgent,4.04,"(14, 1)",0.5,True,2.05,,False,work,继续工作，维持收入,601.3299999999999,False
1,Poor_10,PoorAgent,10.58,"(12, 4)",0.5,True,3.19,,False,work,继续工作，维持收入和满意度,594.5400000000001,False
1,Poor_11,PoorAgent,6.34,"(12, 14)",0.5,True,2.15,,False,work,继续为雇主工作，维持收入和提升满意度。,601.3299999999999,False
1,Poor_12,PoorAgent,12.100000000000001,"(10, 10)",0.5,True,2.97,,False,work,继续工作，维持收入和提高满意度,594.5400000000001,False
1,Poor_13,PoorAgent,3.9899999999999998,"(11, 14)",0.5,True,2.59,,False,work,继续努力工作以维持收入和提升满意度,601.3299999999999,False
1,Poor_14,PoorAgent,6.73,"(6, 15)",0.5,True,3.13,,False,work,继续为雇主工作，维持收入和提升满意度。,594.5400000000001,False
1,Poor_15,PoorAgent,8.45,"(12, 9)",0.5,True,3.14,,False,work,继续工作，维持收入稳定。,601.3299999999999,False
1,Poor_16,PoorAgent,12.18,"(2, 15)",0.5,True,3.54,,False,work,继续工作，以维持收入和提升满意度,594.5400000000001,False
1,Poor_17,PoorAgent,8.08,"(15, 6)",0.5,True,2.55,,False,work,继续工作以维持收入和提高满意度,601.3299999999999,False
1,Poor_18,PoorAgent,10.719999999999999,"(18, 14)",0.5,True,3.13,,False,work,继续完成当前任务，维持收入和雇佣关系,594.5400000000001,False
1,Rich_19,RichAgent,601.3299999999999,"(4, 7)",0.5,,,,,hire,我正在寻找工作机会,,False
1,Rich_20,RichAgent,594.5400000000001,"(16, 5)",0.5,,,,,hire,我正在找工作，希望找到一份稳定且有利可图的职位。,,False
2,Poor_1,PoorAgent,11.62,"(16, 1)",0.5,True,2.08,,False,work,继续努力工作，维持收入和提高满意度,1155.37,False
2,Poor_2,PoorAgent,6.73,"(12, 0)",0.5,True,2.37,,False,work,继续保持现状，维持收入和满意度,1160.7600000000002,False
2,Poor_3,PoorAgent,7.51,"(3, 18)",0.5,True,2.89,,False,work,继续努力工作，维持收入和提升满意度。,1155.37,False
2,Poor_4,PoorAgent,16.05,"(18, 3)",0.5,True,3.33,,False,work,继续工作，维持收入和满意度,1160.7600000000002,False
2,Poor_5,PoorAgent,13.73,"(17, 6)",0.5,True,2.75,,False,work,继续工作，维持收入稳定,1155.37,False
2,Poor_6,PoorAgent,10.43,"(19, 1)",0.5,True,2.54,,False,work,继续工作，维持收入和雇主关系,1160.7600000000002,False
2,Poor_7,PoorAgent,15.15,"(8, 12)",0.5,True,3.76,,False,work,继续工作，维持收入和满意度,1155.37,False
2,Poor_8,PoorAgent,8.96,"(6, 1)",0.5,True,2.58,,False,work,继续保持现状，维持收入和满意度,1160.7600000000002,False
2,Poor_9,PoorAgent,6.09,"(15, 2)",0.5,True,2.05,,False,work,继续工作，维持收入,1155.37,False
2,Poor_10,PoorAgent,13.77,"(12, 5)",0.5,True,3.19,,False,work,继续工作，维持收入和满意度,1160.7600000000002,False
2,Poor_11,PoorAgent,8.49,"(12, 13)",0.5,True,2.15,,False,work,继续为雇主工作，维持收入和提升满意度。,1155.37,False
2,Poor_12,PoorAgent,15.070000000000002,"(11, 10)",0.5,True,2.97,,False,work,继续工作，维持收入和提高满意度,1160.7600000000002,False
2,Poor_13,PoorAgent,6.58,"(11, 15)",0.5,True,2.59,,False,work,继续努力工作以维持收入和提升满意度,1155.37,False
2,Poor_14,PoorAgent,9.86,"(5, 15)",0.5,True,3.13,,False,work,继续为雇主工作，维持收入和提升满意度。,1160.7600000000002,False
2,Poor_15,PoorAgent,11.59,"(11, 9)",0.5,True,3.14,,False,work,继续工作，维持收入稳定。,1155.37,False
2,Poor_16,PoorAgent,15.719999999999999,"(1, 14)",0.5,True,3.54,,False,work,继续工作，以维持收入和提升满意度,1160.7600000000002,False
2,Poor_17,PoorAgent,10.629999999999999,"(16, 7)",0.5,True,2.55,,False,work,继续工作以维持收入和提高满意度,1155.37,False
2,Poor_18,PoorAgent,13.849999999999998,"(19, 15)",0.5,True,3.13,,False,work,继续完成当前任务，维持收入和雇佣关系,1160.7600000000002,False
2,Rich_19,RichAgent,1155.37,"(4, 7)",0.5,,,,,hire,我正在寻找工作机会,,False
2,Rich_20,RichAgent,1160.7600000000002,"(16, 5)",0.5,,,,,hire,我正在寻找稳定且有利可图的工作机会。,,False
3,Poor_1,PoorAgent,13.7,"(15, 2)",0.5,True,2.08,,False,work,继续努力工作，维持收入和提高满意度,1782.4099999999999,False
3,Poor_2,PoorAgent,9.100000000000001,"(13, 19)",0.5,True,2.37,,False,work,继续保持现状，维持收入和满意度,1804.9800000000002,False
3,Poor_3,PoorAgent,10.4,"(3, 17)",0.5,True,2.89,,False,work,继续努力工作，维持收入和提升满意度。,1782.4099999999999,False
3,Poor_4,PoorAgent,19.380000000000003,"(18, 2)",0.5,True,3.33,,False,work,继续工作，维持收入和满意度,1804.9800000000002,False
