step,type,description,transparency,agents,agent_id,agent_type,value,action,reason,wage,worker_id,target_id,source
0,initial_hire,Poor_1 初始被 Rich_19 雇佣，工资 2.08,False,"Poor_1,Rich_19",,,,,,2.08,,,
0,initial_hire,Poor_2 初始被 Rich_20 雇佣，工资 2.37,False,"Poor_2,Rich_20",,,,,,2.37,,,
0,initial_hire,Poor_3 初始被 Rich_19 雇佣，工资 2.89,False,"Poor_3,Rich_19",,,,,,2.89,,,
0,initial_hire,Poor_4 初始被 Rich_20 雇佣，工资 3.33,False,"Poor_4,Rich_20",,,,,,3.33,,,
0,initial_hire,Poor_5 初始被 Rich_19 雇佣，工资 2.75,False,"Poor_5,Rich_19",,,,,,2.75,,,
0,initial_hire,Poor_6 初始被 Rich_20 雇佣，工资 2.54,False,"Poor_6,Rich_20",,,,,,2.54,,,
0,initial_hire,Poor_7 初始被 Rich_19 雇佣，工资 3.76,False,"Poor_7,Rich_19",,,,,,3.76,,,
0,initial_hire,Poor_8 初始被 Rich_20 雇佣，工资 2.58,False,"Poor_8,Rich_20",,,,,,2.58,,,
0,initial_hire,Poor_9 初始被 Rich_19 雇佣，工资 2.05,False,"Poor_9,Rich_19",,,,,,2.05,,,
0,initial_hire,Poor_10 初始被 Rich_20 雇佣，工资 3.19,False,"Poor_10,Rich_20",,,,,,3.19,,,
0,initial_hire,Poor_11 初始被 Rich_19 雇佣，工资 2.15,False,"Poor_11,Rich_19",,,,,,2.15,,,
0,initial_hire,Poor_12 初始被 Rich_20 雇佣，工资 2.97,False,"Poor_12,Rich_20",,,,,,2.97,,,
0,initial_hire,Poor_13 初始被 Rich_19 雇佣，工资 2.59,False,"Poor_13,Rich_19",,,,,,2.59,,,
0,initial_hire,Poor_14 初始被 Rich_20 雇佣，工资 3.13,False,"Poor_14,Rich_20",,,,,,3.13,,,
0,initial_hire,Poor_15 初始被 Rich_19 雇佣，工资 3.14,False,"Poor_15,Rich_19",,,,,,3.14,,,
0,initial_hire,Poor_16 初始被 Rich_20 雇佣，工资 3.54,False,"Poor_16,Rich_20",,,,,,3.54,,,
0,initial_hire,Poor_17 初始被 Rich_19 雇佣，工资 2.55,False,"Poor_17,Rich_19",,,,,,2.55,,,
0,initial_hire,Poor_18 初始被 Rich_20 雇佣，工资 3.13,False,"Poor_18,Rich_20",,,,,,3.13,,,
1,step,Step 1 完成,False,,,,,,,,,,
2,step,Step 2 完成,False,,,,,,,,,,
3,step,Step 3 完成,False,,,,,,,,,,
4,step,Step 4 完成,False,,,,,,,,,,
5,step,Step 5 完成,False,,,,,,,,,,
